,Title,Label,Type,Price,Location,Baths,Area,Purpose,Bedroom(s),Added,Description,Main Features,Rooms,Business and Communication,Healthcare Recreational,Nearby Locations and Other Facilities,Other Facilities,Popular,Source,Time Stamp
338,Beautiful House For Sale In Beautiful Location,"F-10/2, F-10, Islamabad, Islamabad Capital",House,PKR   9.5 Crore,"F-10, Islamabad, Islamabad Capital",6,1.3 Kanal,For Sale,6,5 days ago,"A beautifully designed and constructed 666 Square Yards House in , F-10, Islamabad is available for Sale. The House features 6 beds, finished with fine material and designed for a comfortable living experience. The 6 baths also come with fine fittings and high quality tiles. For a House that has addressed every tiny detail to offer the residents complete peace of mind, the price tag of 9 crore 50 lac PKR (Pakistan) is very reasonable and attracting lots of attention, so we suggest you hurry up and give us a call."," Built in year: 2010 , Flooring , Waste Disposal , Floors: 2"," Bedrooms: 6 , Bathrooms: 6 , Servant Quarters: 2 , Drawing Room , Dining Room , Kitchens: 2 , Study Room , Lounge or Sitting Room"," Broadband Internet Access , Satellite or Cable TV Ready", , ," Maintenance Staff , Security Staff",hot,Islamabad-3-14,3/31/2019 23:25
339,Demolished House for SALE in F11,"F-11, Islamabad, Islamabad Capital",House,PKR   3.5 Crore,"F-11, Islamabad, Islamabad Capital",4,10 Marla,For Sale,4,5 days ago,"Prime Location in F-11, IslamabadCorner House, 50 feet Street. --> 4 Bedrooms--> Attached baths--> 2 Kitchen--> Dining--> Drawing--> TV LoungeBest for Families & Investors! call us for Visit."," Parking Spaces: 1 , Flooring , Electricity Backup , Waste Disposal , Other Main Features"," Bedrooms: 4 , Bathrooms: 4 , Drawing Room , Dining Room , Kitchens: 2 , Lounge or Sitting Room , Laundry Room"," Broadband Internet Access , Satellite or Cable TV Ready , Other Business and Communication Facilities", Lawn or Garden," Nearby Schools , Nearby Hospitals , Nearby Shopping Malls , Nearby Restaurants , Nearby Public Transport Service , Other Nearby Places"," Maintenance Staff , Security Staff , Facilities for Disabled , Other Facilities",hot,Islamabad-3-14,3/31/2019 23:25
340,Brand New 1 Kanal House Is Available For Sale In Bani Gala Islamabad,"Bani Gala, Islamabad, Islamabad Capital",House,PKR   3.25 Crore,"Bani Gala, Islamabad, Islamabad Capital",5,1 Kanal,For Sale,5,5 days ago,Brand New 1 Kanal House Is Available For Sale In Bani Gala Islamabad* 1+3+1 bedroom's planning with attach bathroom* 3D Wallpaper in all rooms* 2 American kitchen* Fully tiled flooring * Huge garden with 2 car parking space * Servant quarter* Furnished  * Beautiful view from terrace Beautifully Designed & Constructed House In The Heart Of Bani Gala. On Good Location," Parking Spaces: 2 , Flooring , Furnished"," Bedrooms: 5 , Bathrooms: 5 , Servant Quarters: 1 , Drawing Room , Dining Room , Kitchens: 2 , Study Room , Prayer Room , Powder Room  , Store Rooms: 1 , Lounge or Sitting Room , Laundry Room"," Broadband Internet Access , Satellite or Cable TV Ready , Intercom", Lawn or Garden, , ,hot,Islamabad-3-14,3/31/2019 23:25
341,Bahria Town Beautiful House for SALE,"Bahria Town, Islamabad, Islamabad Capital",House,PKR   4.2 Crore,"Bahria Town, Islamabad, Islamabad Capital",6,1.2 Kanal,For Sale,6,5 days ago,House for SALE in Prime Location in Bahria Town Phase 7 6 Bedrooms with attached Bath RoomsDrawing Dining with Kitchen Beautiful Lawn with Spacious Car Parking Gardening Area.," Parking Spaces , Flooring"," Bedrooms: 6 , Bathrooms: 6 , Servant Quarters: 1 , Drawing Room , Dining Room , Kitchens: 1 , Study Room , Prayer Room , Powder Room  , Store Rooms: 3", , , , ,hot,Islamabad-3-14,3/31/2019 23:25
342,Kanal House for Sale in F113,"F-11, Islamabad, Islamabad Capital",House,PKR   10.5 Crore,"F-11, Islamabad, Islamabad Capital",10,1 Kanal,For Sale,10,5 days ago,Triple Story House for Sale in CDA SECTOR F-11/3Details are as following10 Bedrooms Attached Washrooms3 Kitchens3 Drawing Dining3 T/V Lounge2 Servant QuartersHuge Car porchOutstanding LocationMargalla Face," Built in year: 2019 , Parking Spaces: 4 , Flooring , Floors"," Bedrooms: 10 , Bathrooms: 10 , Servant Quarters: 2 , Drawing Room , Dining Room , Kitchens: 3 , Study Room , Prayer Room , Store Rooms: 2 , Lounge or Sitting Room , Laundry Room"," Broadband Internet Access , Satellite or Cable TV Ready , Intercom", Lawn or Garden, , ,hot,Islamabad-3-14,3/31/2019 23:25
343,New Good Location Luxurious House For Sale,"E-11/4, E-11, Islamabad, Islamabad Capital",House,PKR   7.6 Crore,"E-11, Islamabad, Islamabad Capital",7,1 Kanal,For Sale,6,1 day ago,50x90 New House With 6 Bedroom A/bath Drawing/ Dining Lounge Kitchen Store S/q Double Storey 6 Master Bad Room Shower Cabin Bath Installed Superb Elevation Company Kitchen Imported Fitting Wide Lounge Hug Car Parking Solid Wood Work Exclusive Views From The Terrace House Is Located Near Park /mosque Commercial Area School Is Very Near To Premises Under Ground Water Tank All The Basic Necessities Of Life Are Available Easy Approach New Airport Feel Free To Contact Us.," Waste Disposal , Furnished"," Drawing Room , Dining Room , Study Room , Prayer Room , Powder Room  , Gym , Steam Room , Lounge or Sitting Room , Laundry Room"," Broadband Internet Access , Satellite or Cable TV Ready , Intercom"," Lawn or Garden , Swimming Pool , Sauna , Jacuzzi", ," Maintenance Staff , Security Staff , Facilities for Disabled",,Islamabad-3-14,3/31/2019 23:25
344,New House For Sale 5 Bed Rooms,"Services Society, E-11/2, E-11, Islamabad, Islamabad Capital",House,PKR   3.25 Crore,"E-11, Islamabad, Islamabad Capital",5,8 Marla,For Sale,5,1 day ago,Corner Brand New House 30x60 5 Bed Room 2 Lounge 2 D/d 2 Kitchen Store  Tills Flooring Good Location A Home Of Dreams Designed Of Master Architect All Of The Factors Which Are Crucial For The Overall Appeal Of The Call Us   , ," Drawing Room , Dining Room , Study Room , Prayer Room , Powder Room  , Gym , Steam Room , Lounge or Sitting Room , Laundry Room"," Broadband Internet Access , Satellite or Cable TV Ready , Intercom"," Lawn or Garden , Jacuzzi", , ,,Islamabad-3-14,3/31/2019 23:25
345,Eight Marla New House For Sale,"E-11, Islamabad, Islamabad Capital",House,PKR   3.5 Crore,"E-11, Islamabad, Islamabad Capital",7,8 Marla,For Sale,6,1 day ago,House Good Location 6 Bad Room A/bath 2 Kitchen 2 Lounge 2 D/D Servant Quarter  Beautiful Design Stair Hall Double Height Glossy Finish Tile 3/4 Flooring Inside Wooden Flooring In Drawing/dinning Room Granite Covered Top Of Kitchens Baths/stairs Wall Papers Tuff Tiles Outside 1 Servant/q   1 Laundry For Washing Electric Security Fance Near To Park School Markaz Mousqe Place Feel To Call Us. , Waste Disposal," Drawing Room , Dining Room , Study Room , Prayer Room , Powder Room  , Gym , Steam Room , Lounge or Sitting Room , Laundry Room"," Broadband Internet Access , Satellite or Cable TV Ready , Intercom", Lawn or Garden, , Security Staff,,Islamabad-3-14,3/31/2019 23:25
346,Size 25x40 Brand New House Is Available For Sale,"G-13/1, G-13, Islamabad, Islamabad Capital",House,PKR   1.5 Crore,"G-13, Islamabad, Islamabad Capital",5,4.4 Marla,For Sale,4,1 day ago,"House is Located in G-13-1 on Lucrative locationRawalpindi facing walking distance to Main Kashmir highway And New Metro Bus StopHouse consist of,,4> Bad rooms5> Baths Rooms2> TV Lounge 2> kitchensservant quarter Car porchBest option for living purpose and investment purposeVery Reasonable Demand 1 crore and Fifty LacOutclassed constructionBack To Main Kashmir HighwayNear To New AirportEasily Approachable Market, Mosque, Schools, Parks and Etcplz call for more details and many more option"," Built in year: 2017 , Parking Spaces , Double Glazed Windows , Central Air Conditioning , Central Heating , Flooring , Electricity Backup , Waste Disposal , Floors: 2 , Other Main Features"," Bedrooms: 4 , Bathrooms: 5 , Servant Quarters , Drawing Room , Dining Room , Kitchens: 2 , Study Room , Prayer Room , Powder Room  , Gym , Store Rooms , Steam Room , Lounge or Sitting Room , Laundry Room , Other Rooms"," Broadband Internet Access , Satellite or Cable TV Ready , Intercom , Other Business and Communication Facilities"," Lawn or Garden , Sauna , Jacuzzi , Other Healthcare and Recreation Facilities"," Nearby Schools , Nearby Hospitals , Nearby Shopping Malls , Nearby Restaurants , Distance From Airport (kms) , Nearby Public Transport Service , Other Nearby Places"," Maintenance Staff , Security Staff , Other Facilities",,Islamabad-3-14,3/31/2019 23:25
347,Designer Out Class 10 Marla House In Bahria Town,"Bahria Town, Islamabad, Islamabad Capital",House,PKR   2.4 Crore,"Bahria Town, Islamabad, Islamabad Capital",6,10 Marla,For Sale,5,1 day ago,10 Marla house for sale having Excellent interior and exterior. 5 beds with attach baths. Tiled flooring. Double glazed glass windows. Car porch for 3 cars. Imported fittings and fixtures. Ash wood. Balconies and terraces. Beautiful house and beautiful location. Drawing Room solid ash wood door wooden & Ghani’s glass," Built in year: 2019 , Parking Spaces: 2 , Double Glazed Windows , Flooring , Electricity Backup , Waste Disposal , Floors: 2"," Bedrooms: 5 , Bathrooms: 6 , Servant Quarters: 1 , Drawing Room , Kitchens: 2 , Study Room , Prayer Room , Powder Room  , Store Rooms: 1 , Lounge or Sitting Room , Laundry Room"," Broadband Internet Access , Satellite or Cable TV Ready , Intercom", Lawn or Garden," Nearby Schools , Nearby Hospitals , Nearby Shopping Malls , Nearby Restaurants , Distance From Airport (kms) , Nearby Public Transport Service", ,,Islamabad-3-14,3/31/2019 23:25
348,Stylish 10 Marla House House In Bahria Town,"Bahria Town, Islamabad, Islamabad Capital",House,PKR   2.75 Crore,"Bahria Town, Islamabad, Islamabad Capital",6,10 Marla,For Sale,5,1 day ago,"Stylish 10 Marla House For Sale. Having 5 Bedrooms, Beautiful Interior Wood Work And Color Scheme. Ground Floor:2 Bedrooms With Attach Baths, Drawing Room, Kitchen, TV Lounge And Store, Car Porch. First Floor:3 Bed With Attach Baths, Kitchen TV Lounge, Balconies And Terrace and Servant Quarter. It is the only housing scheme, in which you Can enjoy Luxuries of life very economically. Shopping, Zoo’s, Parks, Hospital, Mosque, School, College’s, Cinema’s, Restaurants, Tennis Club etc. For More Options Contact Us"," Built in year: 2019 , Parking Spaces: 3 , Double Glazed Windows , Flooring , Electricity Backup , Waste Disposal , Floors: 2"," Bedrooms: 5 , Bathrooms: 6 , Servant Quarters: 1 , Drawing Room , Dining Room , Kitchens: 1 , Study Room , Prayer Room , Powder Room  , Lounge or Sitting Room , Laundry Room"," Broadband Internet Access , Intercom", Lawn or Garden," Nearby Schools , Nearby Hospitals , Nearby Shopping Malls , Nearby Restaurants , Distance From Airport (kms)"," Maintenance Staff , Security Staff , Facilities for Disabled",,Islamabad-3-14,3/31/2019 23:25
349,25x40 Brand New House Is Available For Sale G13,"G-13/1, G-13, Islamabad, Islamabad Capital",House,PKR   1.62 Crore,"G-13, Islamabad, Islamabad Capital",5,4.4 Marla,For Sale,4,1 day ago,"Brand New Beautiful House in G-13Double story classic house for saleFull marble floor and wooden work in whole houseNear to Kashmir highway IslamabadNear to New international Airport IslamabadHouse features:4 bedroom5 attached bathroom2 kitchen2 TV LoungeStore roomTerraceLaundryCar porchNear to market, near to school, near to mosque, near to clinic, near to play ground etcfully security area,All facilities are availableContact us for more information:"," Built in year: 2019 , Parking Spaces , Double Glazed Windows , Central Air Conditioning , Central Heating , Flooring , Electricity Backup , Waste Disposal , Floors: 2 , Other Main Features"," Bedrooms: 4 , Bathrooms: 5 , Servant Quarters , Drawing Room , Dining Room , Kitchens: 2 , Study Room , Prayer Room , Powder Room  , Gym , Store Rooms , Steam Room , Lounge or Sitting Room , Laundry Room , Other Rooms"," Broadband Internet Access , Satellite or Cable TV Ready , Intercom , Other Business and Communication Facilities"," Lawn or Garden , Sauna , Jacuzzi , Other Healthcare and Recreation Facilities"," Nearby Schools , Nearby Hospitals , Nearby Shopping Malls , Nearby Restaurants , Distance From Airport (kms) , Nearby Public Transport Service , Other Nearby Places"," Maintenance Staff , Security Staff , Other Facilities",,Islamabad-3-14,3/31/2019 23:25
350,Brand New Kanal House Is Available For Sale In Sector C Bahria Enclave,"Bahria Enclave - Sector C, Bahria Enclave, Bahria Town, Islamabad, Islamabad Capital",House,PKR   4.5 Crore,"Bahria Town, Islamabad, Islamabad Capital",5,1 Kanal,For Sale,5,1 day ago,Beautifully Designed & Constructed House In The Heart Of Bahria Enclave. On Most Prime Location Of Sector C Road 5 Boulevard 20 Marla- 5 Bedrooms - Attached Bathrooms- Powder room- 2 Kitchen- 2 Tv Lounge- Drawing Dining - Servant Quater - Terrace- Car porch- It Is Sure To Be A Profitable DealFor More Details Please Feel Free To Contact Us., Built in year: 2018," Bedrooms: 5 , Bathrooms: 5 , Drawing Room , Dining Room", , , , Maintenance Staff,,Islamabad-3-14,3/31/2019 23:25
351,4 Marla house for sale brand new in G131 very reasonable,"G-13/1, G-13, Islamabad, Islamabad Capital",House,PKR   1.4 Crore,"G-13, Islamabad, Islamabad Capital",-,4.4 Marla,For Sale,-,5 days ago,brand new house location  best  very close by Kashmir high way contact for more information 4 bed room 4 bath  2 kitchen TV Lounge  Gli car parking gas boring," Built in year: 2018 , Parking Spaces: 1 , Double Glazed Windows , Flooring , Electricity Backup , Floors: 1 , Other Main Features"," Bedrooms: 4 , Bathrooms: 4 , Servant Quarters , Drawing Room , Dining Room , Kitchens: 2 , Study Room , Powder Room  , Store Rooms: 1 , Lounge or Sitting Room"," Broadband Internet Access , Satellite or Cable TV Ready , Intercom , Other Business and Communication Facilities", Other Healthcare and Recreation Facilities," Nearby Schools , Nearby Hospitals , Nearby Shopping Malls , Nearby Restaurants , Distance From Airport (kms) , Nearby Public Transport Service , Other Nearby Places"," Security Staff , Other Facilities",hot,Islamabad-3-15,3/31/2019 23:26
352,F7 1 kana brand new house 6 bed 6 bath servant,"F-7, Islamabad, Islamabad Capital",House,PKR   15 Crore,"F-7, Islamabad, Islamabad Capital",6,10 Kanal,For Sale,6,6 days ago,6 bedrooms 6 bathroomsDarwing dinningServantPrime location, ," Bedrooms: 6 , Bathrooms: 6 , Servant Quarters: 1 , Drawing Room , Dining Room , Kitchens: 1 , Study Room , Lounge or Sitting Room", , , , ,hot,Islamabad-3-15,3/31/2019 23:26
353,Double Storey Corner House For Sale,"Ghauri Town Phase 4, Ghauri Town, Islamabad, Islamabad Capital",House,PKR   65 Lakh,"Ghauri Town, Islamabad, Islamabad Capital",4,3 Marla,For Sale,4,6 days ago,3 MARLA Corner House is Available For Sale in Ghauri Town Phase 4C-2 Near Fawara ChowkDetails:-4 Bedrooms Attached Baths2 Drawing Rooms2 kitchensCar porchElectricity & Water Boring," Built in year: 2019 , Parking Spaces: 1 , Double Glazed Windows , Flooring , Electricity Backup , Waste Disposal , Floors: 2"," Bedrooms: 4 , Bathrooms: 4 , Drawing Room , Dining Room , Kitchens: 2", Broadband Internet Access, ," Nearby Schools , Nearby Hospitals , Nearby Restaurants , Nearby Public Transport Service , Other Nearby Places", ,hot,Islamabad-3-15,3/31/2019 23:26
